Date,Open,High,Low,Close,Volume
3/12/24,2.81,2.85,2.672,2.7635,"33,037"
3/11/24,2.8,2.91,2.6,2.81,"296,151"
3/8/24,2.56,2.8726,2.54,2.8,"201,640"
3/7/24,2.56,2.628,2.5,2.56,"66,981"
3/6/24,2.63,2.69,2.5401,2.6,"53,790"
3/5/24,2.5,2.64,2.48,2.6,"90,676"
3/4/24,2.65,2.65,2.47,2.58,"153,538"
3/1/24,2.67,2.81,2.4,2.63,"731,328"
2/29/24,2.85,3.03,2.66,2.67,"240,398"
2/28/24,3,3.1866,2.78,2.83,"444,915"
2/27/24,3.3,3.3999,2.63,2.8,"1,946,416"
2/26/24,7.16,7.53,6.55,6.8,"411,165"
2/23/24,8.11,8.3371,5.8,6.87,"419,806"
2/22/24,8.9,9.4,7,7.25,"206,652"
2/21/24,9.03,9.3236,8.53,8.8,"88,720"
2/20/24,8.7,9.09,8.47,8.8,"34,377"
2/16/24,9.39,9.8397,8.18,8.39,"59,673"
2/15/24,9.8,9.84,9.25,9.4,"36,252"
2/14/24,9.49,10.1799,9.23,9.85,"48,868"
2/13/24,9.75,10.21,9.2,9.4,"22,279"
2/12/24,10.33,10.33,9.73,9.73,"33,112"
2/9/24,9.51,10.75,9.51,10.33,"64,507"
2/8/24,10.77,10.8781,7.89,9.52,"231,901"
2/7/24,12.6,13.49,10.66,10.76,"209,053"
2/6/24,10.95,12.944,10.95,12.47,"128,958"
2/5/24,9.54,12.4755,9.51,10.79,"163,273"
2/2/24,8.55,9.62,8.55,9.44,"55,324"
2/1/24,8.48,8.77,8.4254,8.65,"11,866"
1/31/24,8.84,8.85,8.45,8.45,"12,947"
1/30/24,8.45,8.85,8.19,8.85,"13,139"
1/29/24,8.26,8.9,7.69,8.5,"56,500"
1/26/24,7.73,8.25,7.73,8.14,"15,523"
1/25/24,7.7,7.85,7.6,7.71,"10,484"
1/24/24,7.87,7.87,7.65,7.85,"13,704"
1/23/24,7.65,7.86,7.56,7.75,"10,721"
1/22/24,7.67,8.05,7.4678,7.72,"38,787"
1/19/24,7.21,7.7325,7,7.53,"18,352"
1/18/24,6.77,7.19,6.6,7.01,"15,803"
1/17/24,6.905,7,6.72,6.82,"10,127"
1/16/24,7.3,7.3,6.52,6.95,"46,201"
1/12/24,7.85,8.11,7.35,7.45,"59,671"
1/11/24,7.7,8.15,7.5,7.62,"39,853"
1/10/24,7.25,7.765,7.0932,7.7,"18,021"
1/9/24,7.36,7.805,7.05,7.25,"58,237"
1/8/24,6.3,7.45,6.3,7.36,"72,129"
1/5/24,6.49,6.825,6.12,6.2,"55,138"
1/4/24,6.12,6.58,6.09,6.49,"49,766"
1/3/24,6.36,6.36,5.93,6.05,"43,619"
1/2/24,6.2,6.2987,5.88,6.15,"28,940"
12/29/23,6.36,6.39,6.01,6.15,"12,250"
12/28/23,6.5,6.5,6.26,6.45,"22,858"
12/27/23,6.52,6.7493,6.2502,6.5,"25,744"
12/26/23,6.85,6.905,6.53,6.53,"16,833"
12/22/23,6.69,7.0484,6.69,6.84,"29,859"
12/21/23,6.7,6.7,6.55,6.55,"4,911"
12/20/23,6.455,6.654,6.45,6.6,"13,131"
12/19/23,6.21,6.65,6.17,6.65,"7,729"
12/18/23,6.51,6.51,5.9472,6.15,"25,584"
12/15/23,6.21,6.57,6.1887,6.45,"7,116"
12/14/23,6.4,6.538,6.14,6.16,"15,828"
12/13/23,6.4,6.6223,6.31,6.36,"10,022"
12/12/23,6.17,6.54,6.17,6.35,"12,022"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
