Date,Open,High,Low,Close,Volume
3/12/24,161.82,162.4,161.23,161.79,"1,515,095"
3/11/24,161.34,162.62,160.815,161.55,"5,171,060"
3/8/24,159.85,161.245,158.29,160.35,"5,080,225"
3/7/24,159.95,160.91,159.47,160.62,"4,783,943"
3/6/24,159.68,159.99,158.91,159.57,"5,405,719"
3/5/24,159.46,159.99,158.78,159.32,"4,481,715"
3/4/24,157.74,159.76,157.67,159.56,"3,841,623"
3/1/24,158.05,159.03,157.61,158.85,"4,819,929"
2/29/24,159.93,160.11,158.18,158.94,"8,348,201"
2/28/24,159.065,160.12,158.64,160.05,"3,802,915"
2/27/24,159.41,159.8,158.9613,159.3,"3,868,405"
2/26/24,161.025,161.17,160.07,160.22,"4,531,936"
2/23/24,160.6,161.74,160.16,161.03,"5,486,533"
2/22/24,159.46,161.0901,158.63,160.56,"6,619,639"
2/21/24,159.19,160.4,159.19,160.4,"7,121,116"
2/20/24,158.7,159.79,158.13,158.51,"6,622,058"
2/16/24,157.04,158.45,156.67,157.51,"6,617,706"
2/15/24,156.3,157.42,156.15,157.01,"6,249,241"
2/14/24,156.16,156.16,154.91,155.63,"5,727,455"
2/13/24,157.75,158.97,155.48,156.27,"6,046,869"
2/12/24,157.36,157.61,155.485,157.11,"5,482,124"
2/9/24,158.26,158.34,156.96,157.42,"5,978,181"
2/8/24,158.8,159.1,157.77,158.64,"6,121,778"
2/7/24,159.1,159.83,158.74,159.12,"7,209,276"
2/6/24,158.305,159.07,157.87,158.96,"6,185,982"
2/5/24,158.17,159,157.555,158.21,"6,931,933"
2/2/24,158.97,159.6,157.525,158.09,"7,937,716"
2/1/24,156.77,159.3,156.62,159.18,"7,601,144"
1/31/24,157.99,158.5,156.7,157.14,"8,870,215"
1/30/24,156.34,157.92,155.82,157.49,"7,794,730"
1/29/24,156.68,157.33,155.395,156.16,"8,987,609"
1/26/24,155.81,156.16,155.34,156.14,"8,356,819"
1/25/24,152.4,155.66,152.06,155.62,"10,352,450"
1/24/24,153.93,154.23,152.09,152.12,"11,592,670"
1/23/24,153.11,156.4,152.89,153.98,"19,101,560"
1/22/24,146.97,148.21,146.28,147.86,"11,084,130"
1/19/24,148.25,148.62,147.31,147.57,"7,848,138"
1/18/24,148.225,148.4,146.92,148.14,"6,526,221"
1/17/24,149.155,150.6,149.01,149.94,"6,541,439"
1/16/24,150.15,151.5,148.88,149.79,"8,120,101"
1/12/24,150.95,151.3,149.89,150.6,"5,684,834"
1/11/24,150.05,150.8,149.2935,150.51,"6,659,447"
1/10/24,149.35,150,149.26,149.94,"8,591,116"
1/9/24,148.57,149.4,148.05,149.3,"9,786,934"
1/8/24,147.91,148.92,147.65,148.69,"8,255,307"
1/5/24,148.72,148.87,146.55,147.42,"5,294,358"
1/4/24,148.05,149.2669,147.77,148.65,"7,067,618"
1/3/24,148.34,149.2,147.175,147.84,"7,697,534"
1/2/24,146.36,149.41,146.31,148.74,"7,238,388"
12/29/23,146,146.96,145.73,146.54,"5,300,991"
12/28/23,146,146.01,145.035,145.73,"5,023,033"
12/27/23,145.65,146.305,145.3638,146.06,"4,569,442"
12/26/23,145.09,146.17,144.97,145.94,"3,634,885"
12/22/23,144.5,145.63,144.29,145.28,"4,413,842"
12/21/23,144.52,144.79,143.13,144.26,"6,104,714"
12/20/23,145.57,146.07,143.84,143.91,"7,663,841"
12/19/23,145.67,146.335,145.39,146.17,"5,233,563"
12/18/23,144.17,147.49,144.15,146.17,"8,421,950"
12/15/23,143.18,144.25,142.5,143.96,"14,549,960"
12/14/23,148.46,148.55,144.38,144.66,"10,565,170"
12/13/23,145.86,148.65,145.45,148.58,"9,055,532"
12/12/23,145.86,146.23,145.08,145.94,"6,069,202"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
